code,province,fsc,this_week,last_week,last_year,feb,date
EC,Eastern Cape,1832,62,62,78,62,2016-11-07
FS,Free State,15971,49,50,66,64,2016-11-07
GP,Gauteng,115,79,79,82,88,2016-11-07
KZN,KwaZulu-Natal,4669,41,42,57,49,2016-11-07
LES,Lesotho,2376,37,37,56,51,2016-11-07
LIM,Limpopo,1508,44,45,70,70,2016-11-07
MP,Mpumalanga,2539,45,46,68,69,2016-11-07
NW,North West,887,55,55,53,82,2016-11-07
NC,Northern Cape,146,54,56,74,101,2016-11-07
WC,Western Cape,1870,59,61,68,33,2016-11-07
NAT,National,31913,48,49,65,61,2016-11-07
