dam,capcity,year_completed_original,year_completed,age,river,province,locale,longitude,latitude,wall_height,surface
Midmar Dam,"235,400
",1965,1965,52,Umgeni,KZN,Howick,30.4002777777778,-23.2666666666667,32,15.643
Lady Grey Dam,,,,,Wilgespruit,Eastern Cape,Lady Grey,30.375,-25.3625,,
Albasini Dam,"28.200
",1952,1952,65,Levubu River (Luvuvhu River),Limpopo,Louis Trichardt,30.13,-23.1083333333333,34,3498
Albert Falls Dam,"288.100
",1976,1976,41,Umgeni River,KZN,Pietermaritzburg,30.3883333333333,-29.4361111111111,33,23521
Alexandra Dam,126[4],1903,1903,114,Disa River,Western Cape,Cape Town,18.4116666666667,-33.9880555555556,,12
Allemanskraal Dam,"174.500
",1960,1960,57,Sand River,Free State,Ventersburg,27.1502777777778,-28.2875,38,26481
Alphen Dam,[G][6],1990,1990,27,Bonte River,Western Cape,Stellenbosch,18.8736111111111,-34.0116666666667,18.3,
Armenia Dam,"13.000
",1954,1954,63,Leeu River,Free State,Hobhouse,27.1336111111111,-29.3708333333333,22,3933
Beervlei Dam,"85.800
[N][7]",1957,1957,60,Groot River,Eastern Cape,Willowmore,23.4836111111111,-33.075,31,23.145
Berg River Dam,"127.100
[N][10]",2007,2007,10,Berg River,Western Cape,Franschhoek,19.0558333333333,-33.9094444444444,68,5.26
Binfield Park Dam,36.83,1986 (1987),1986,31,Tyhume River,Eastern Cape,"Alice, Eastern Cape",26.905,-32.6986111111111,60,1.87
Bivane Dam (Paris Dam),115.2,2000,2000,17,Bivane River,KZN,Vryheid,31.0541666666667,-27.5194444444444,72,
Bloemhoek Dam,26.4,1976,1976,41,Jordaan Spruit,Free State,Kroonstad,27.2833333333333,-27.6336111111111,28,2.8
Bloemhof Dam (Oppermansdrif),"1.240.200
",1970,1970,47,Vaal River,border North West Free State,Bloemhof,25.6277777777778,-27.6708333333333,33,230.665
Blyderivierpoort Dam,"54,400
[N][11]",1974,1974,43,Blyde River,Mpumalanga,Hoedspruit,30.7888888888889,-24.5375,71,2.494
Boegoeberg Dam,"19,800
[N][12]",1929,1929,88,Orange River,Northern Cape,Prieska,22.2036111111111,-29.0416666666667,12,7.423
Bon Accord Dam,"4,400
[N][13]",1925,1925,92,Apies River,Gauteng,Tshwane,28.1891666666667,-25.6291666666667,18,1.44
Bongolo Dam (Bonkolo),7015,1908,1908,109,Komani River,Eastern Cape,Queenstown,26.9208333333333,-31.8677777777778,24,
Boskop Dam,"20,840
[N][14]",1959,1959,58,Mooi River,North West,Potchefstroom,27.1002777777778,-26.5625,33,3.741
Boschmanskop No 1 Dam,14400,1995,1995,22,Woes-Alleen River,Mpumalanga,Middelburg,29.6305555555556,-26.0183333333333,22,0.185
Bospoort Dam,"15,800
[N][14]",1933,1933,84,Hex River,North West,Rustenburg,27.3538888888889,-25.5625,28,3.741
Brandvlei Dam (Lake Marais),"284,300
[N][10]",1983,1983,34,Lower Brandvlei River,Western Cape,,19.4155555555556,-33.7122222222222,,
Bridle Drift Dam,"101,600
[N][7]",1969,1969,48,Buffels River,Eastern Cape,East London,27.7205555555556,-32.9894444444444,55,7.46
Bronkhorstspruit Dam,"57,400
[N][13]",1950,1950,67,Bronkhorst Spruit,Gauteng,Bronkhorstspruit,28.7208333333333,-25.8875,35,9.609
Buffeljags Dam,"4,800
[N][10]",1967,1967,50,Buffeljags River,Western Cape,Swellendam,20.5530555555556,-34.0102777777778,24,1.248
