"country","rain","year","country_code"
"Colombia",3240,2014,
"São Tomé and Principe",3200,2014,
"Papua New Guinea",3142,2014,
"Solomon Islands",3028,2014,
"Panama",2928,2014,
"Costa Rica",2926,2014,
"Malaysia",2875,2014,
"Brunei",2722,2014,
"Indonesia",2702,2014,
"Bangladesh",2666,2014,
"Fiji",2592,2014,
"Sierra Leone",2526,2014,
"Singapore",2497,2014,
"Liberia",2391,2014,
"Guyana",2387,2014,
"Grenada",2350,2014,
"Philippines",2348,2014,
"Suriname",2331,2014,
"Seychelles",2330,2014,
"St. Lucia",2301,2014,
"Nicaragua",2280,2014,
"Ecuador",2274,2014,
"Trinidad and Tobago",2200,2014,
"Bhutan",2200,2014,
"Equatorial Guinea",2156,2014,
"Myanmar",2091,2014,
"Dominica",2083,2014,
"Puerto Rico",2054,2014,
"Jamaica",2051,2014,
"Venezuela",2044,2014,
"Mauritius",2041,2014,
"Guatemala",1996,2014,
"Honduras",1976,2014,
"Iceland",1940,2014,
"Cambodia",1904,2014,
"Lao PDR",1834,2014,
"Gabon",1831,2014,
"Vietnam",1821,2014,
"El Salvador",1784,2014,
"Brazil",1761,2014,
"Peru",1738,2014,
"New Zealand",1732,2014,
"Sri Lanka",1712,2014,
"Belize",1705,2014,
"Japan",1668,2014,
"Guinea",1651,2014,
"Congo",1646,2014,
"Thailand",1622,2014,
"Cameroon",1604,2014,
"Samoa",1583,2012,
"St. Vincent and the Grenadines",1583,2014,
"Guinea-Bissau",1577,2014,
"Dem. Rep. Congo",1543,2014,
"Switzerland",1537,2014,
"Chile",1522,2014,
"Madagascar",1513,2014,
"Timor-Leste",1500,2014,
"Nepal",1500,2014,
"Albania",1485,2014,
"Haiti",1440,2014,
"St. Kitts and Nevis",1427,2014,
"Barbados",1422,2014,
"Norway",1414,2014,
"Dominican Republic",1410,2014,
"Côte d'Ivoire",1348,2014,
"Central African Republic",1343,2014,
"Cuba",1335,2014,
"Uruguay",1300,2014,
"The Bahamas",1292,2014,
"Burundi",1274,2014,
"Korea",1274,2014,
"United Kingdom",1220,2014,
"Rwanda",1212,2014,
"Ghana",1187,2014,
"Malawi",1181,2014,
"Uganda",1180,2014,
"Togo",1168,2014,
"Slovenia",1162,2014,
"Nigeria",1150,2014,
"Bolivia",1146,2014,
"Paraguay",1130,2014,
"Ireland",1118,2014,
"Croatia",1113,2014,
"Austria",1110,2014,
"India",1083,2014,
"Tanzania",1071,2014,
"Dem. People's Rep. Korea",1054,2014,
"Benin",1039,2014,
"Mozambique",1032,2014,
"Antigua and Barbuda",1030,2014,
"Bosnia and Herzegovina",1028,2014,
"Georgia",1026,2014,
"Zambia",1020,2014,
"Angola",1010,2014,
"World",990,2014,"world"
"Luxembourg",934,2014,
"Comoros",900,2014,
"France",867,2014,
"Portugal",854,2014,
"Ethiopia",848,2014,
"Belgium",847,2014,
"The Gambia",836,2014,
"Italy",832,2014,
"Slovak Republic",824,2014,
"Swaziland",788,2014,
"Lesotho",788,2014,
"Netherlands",778,2014,
"Mexico",758,2014,
"Burkina Faso",748,2014,
"United States",715,2014,
"Denmark",703,2014,
"Germany",700,2014,
"Tajikistan",691,2014,
"Senegal",686,2014,
"Serbia",686,2012,
"Czech Republic",677,2014,
"Lebanon",661,2014,
"Zimbabwe",657,2014,
"Lithuania",656,2014,
"Greece",652,2014,
"China",645,2014,
"Latvia",641,2014,
"Romania",637,2014,
"Spain",636,2014,
"Kiribati",630,2012,
"Kenya",630,2014,
"Estonia",626,2014,
"Sweden",624,2014,
"Macedonia",619,2014,
"Belarus",618,2014,
"Bulgaria",608,2014,
"Poland",600,2014,
"Turkey",593,2014,
"Argentina",591,2014,
"Hungary",589,2014,
"Ukraine",565,2014,
"Armenia",562,2014,
"Malta",560,2014,
"Canada",537,2014,
"Finland",536,2014,
"Australia",534,2014,
"Kyrgyz Republic",533,2014,
"Cyprus",498,2014,
"South Africa",495,2014,"za"
"Palau",494,2012,
"Pakistan",494,2014,
"Russia",460,2014,
"Moldova",450,2014,
"Azerbaijan",447,2014,
"Israel",435,2014,
"Botswana",416,2014,
"Eritrea",384,2014,
"Morocco",346,2014,
"Afghanistan",327,2014,
"Chad",322,2014,
"Namibia",285,2014,
"Somalia",282,2014,
"Mali",282,2014,
"Syrian Arab Republic",252,2014,
"Sudan",250,2014,
"Kazakhstan",250,2014,
"Montenegro",241,2012,
"Mongolia",241,2014,
"Cabo Verde",228,2014,
"Iran",228,2014,
"Djibouti",220,2014,
"Iraq",216,2014,
"Tunisia",207,2014,
"Vanuatu",206,2012,
"Uzbekistan",206,2014,
"Yemen",167,2014,
"Tuvalu",161,2012,
"Turkmenistan",161,2014,
"Niger",151,2014,
"Oman",125,2014,
"Kuwait",121,2014,
"Jordan",111,2014,
"Mauritania",92,2014,
"Algeria",89,2014,
"Bahrain",83,2014,
"United Arab Emirates",78,2014,
"Qatar",74,2014,
"Saudi Arabia",59,2014,
"Liechtenstein",56,2012,
"Libya",56,2014,
"Egypt",51,2014,
