dam,river,fsc,this_week,last_week,last_year,province,rank,province_code,color,lat,lon,percent
Gariep Dam,Orange River,5196.1,47.4,48.3,56.8,Free State,1,FS,dodgerblue,-30.599528,25.581024,16.3
Vanderkloof Dam,Orange River,3171.3,60.7,61.6,89.4,Free State,2,FS,dodgerblue,-29.988519,24.745674,9.9
Sterkfontein Dam,Nuwejaarspruit River,2617,91.8,91.5,96.3,Free State,3,FS,dodgerblue,-28.448334,29.022274,8.2
Vaal Dam,Vaal River,2603.5,26.2,26.4,53.9,Free State,4,FS,dodgerblue,-26.89472,28.145132,8.2
Pongolapoort Dam,Phongolo River,2267.1,37,37.2,52.4,Kwazulu-Natal,5,KZN,crimson,-27.402165,31.957785,7.1
Katse Dam,Malibamatso River,1519.2,37.9,38.4,68.9,Lesotho,6,LES,darkorange,-29.334942,28.504073,4.8
Bloemhof Dam,Vaal River,1240.3,11.4,12.2,43,Free State,7,FS,dodgerblue,-27.703381,25.691376,3.9
Mohale Dam,Senqunyane River,857.2,34.4,33.2,31.9,Lesotho,8,LES,darkorange,-29.458451,28.096848,2.7
Theewaterskloof Dam,Riviersonderend River,479.3,50,50.9,73.2,Western Cape,9,WC,darkviolet,-34.043558,19.273627,1.5
Heyshope Dam,Assegaai River,445,78.8,79,91.1,Mpumalanga,10,MP,green,-26.993608,30.511083,1.4
All Other Dams,,11527.3,,,,,,,,,,36.1
Total,,31923.3,,,,,,,,,,
